no range : 10.221.113.210 | Tuffin 37305 | start:  | end:  
no range : 10.192.67.59 | Tuffin 37309 | start:  | end:  
no range : 10.192.67.93 | Tuffin 37309 | start:  | end:  
no range : 10.221.222.53 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.233 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.65 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.158 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.213 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.101 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.152 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.62 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.15 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.105 | Tuffin 37309 | start:  | end:  
no range : 10.5.5.7 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.107 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.42 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.243 | Tuffin 37309 | start:  | end:  
no range : 10.192.29.152 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.91 | Tuffin 37309 | start:  | end:  
no range : 10.9.5.17 | Tuffin 37309 | start:  | end:  
no range : 10.9.5.11 | Tuffin 37309 | start:  | end:  
no range : 200.184.192.240 | Tuffin 37309 | start:  | end:  
no range : 10.221.23.112 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.83 | Tuffin 37309 | start:  | end:  
no range : 10.5.5.22 | Tuffin 37309 | start:  | end:  
no range : 10.192.2.152 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.222 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.77 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.95 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.90 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.106 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.81 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.156 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.214 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.182 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.120 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.146 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.146 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.82 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.83 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.244 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.223 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.230 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.246 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.227 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.14 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.224 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.235 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.29 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.106 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.238 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.142 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.231 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.79 | Tuffin 37309 | start:  | end:  
no range : 10.192.38.27 | Tuffin 37309 | start:  | end:  
no range : 10.192.38.28 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.52 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.50 | Tuffin 37309 | start:  | end:  
no range : 10.221.23.179 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.51 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.194 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.70 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.59 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.63 | Tuffin 37309 | start:  | end:  
no range : 10.221.21.34 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.49 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.162 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.137 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.184 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.27 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.28 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.25 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.26 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.94 | Tuffin 37309 | start:  | end:  
no range : 10.221.21.108 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.219 | Tuffin 37309 | start:  | end:  
no range : 10.221.21.8 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.61 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.103 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.87 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.88 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.73 | Tuffin 37309 | start:  | end:  
no range : 10.192.2.5 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.202 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.19 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.188 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.24 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.50 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.118 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.20 | Tuffin 37309 | start:  | end:  
no range : 10.192.18.10 | Tuffin 37309 | start:  | end:  
no range : 10.192.38.206 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.69 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.7 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.141 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.142 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.144 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.120 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.203 | Tuffin 37309 | start:  | end:  
no range : 10.192.6.30 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.202 | Tuffin 37309 | start:  | end:  
no range : 10.112.33.21 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.201 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.252 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.253 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.36 | Tuffin 37309 | start:  | end:  
no range : 10.192.16.255 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.232 | Tuffin 37309 | start:  | end:  
no range : 10.192.67.127 | Tuffin 37309 | start:  | end:  
no range : 10.192.67.161 | Tuffin 37309 | start:  | end:  
no range : 10.221.222.54 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.234 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.251 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.214 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.102 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.153 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.32 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.79 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.106 | Tuffin 37309 | start:  | end:  
no range : 10.5.5.8 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.108 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.43 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.244 | Tuffin 37309 | start:  | end:  
no range : 10.192.29.153 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.92 | Tuffin 37309 | start:  | end:  
no range : 10.9.5.5 | Tuffin 37309 | start:  | end:  
no range : 10.9.5.1 | Tuffin 37309 | start:  | end:  
no range : 200.184.192.241 | Tuffin 37309 | start:  | end:  
no range : 10.221.23.113 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.84 | Tuffin 37309 | start:  | end:  
no range : 10.5.5.23 | Tuffin 37309 | start:  | end:  
no range : 10.192.2.153 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.78 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.96 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.91 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.107 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.82 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.157 | Tuffin 37309 | start:  | end:  
no range : 10.221.25.215 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.183 | Tuffin 37309 | start:  | end:  
no range : 10.192.12.121 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.147 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.147 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.84 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.85 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.202 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.181 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.15 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.73 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.225 | Tuffin 37309 | start:  | end:  
no range : 10.192.38.29 | Tuffin 37309 | start:  | end:  
no range : 10.192.38.30 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.48 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.46 | Tuffin 37309 | start:  | end:  
no range : 10.221.23.180 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.195 | Tuffin 37309 | start:  | end:  
no range : 10.221.21.35 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.163 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.95 | Tuffin 37309 | start:  | end:  
no range : 10.221.21.109 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.220 | Tuffin 37309 | start:  | end:  
no range : 10.221.21.9 | Tuffin 37309 | start:  | end:  
no range : 10.192.40.248 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.143 | Tuffin 37309 | start:  | end:  
no range : 10.221.113.195 | Tuffin 37310 | start:  | end:  
no range : 10.221.25.45 | Tuffin 37310 | start:  | end:  
no range : 10.221.113.207 | Tuffin 37310 | start:  | end:  
no range : 10.221.121.195 | Tuffin 37310 | start:  | end:  
no range : 10.221.63.199 | Tuffin 37310 | start:  | end:  
no range : 10.221.25.44 | Tuffin 37310 | start:  | end:  
no range : 10.221.63.242 | Tuffin 37310 | start:  | end:  
no range : 10.221.121.194 | Tuffin 37310 | start:  | end:  
range d : 10.183.16.0 Tuffin 37310 || 10.183.16.0/24 | start: 0 | end: 255
range d : 10.183.40.0 Tuffin 37310 || 10.183.40.0/24 | start: 0 | end: 255
no range : 10.221.30.170 | Tuffin 37311 | start:  | end:  
no range : 10.192.12.174 | Tuffin 37311 | start:  | end:  
no range : 10.168.16.87 | Tuffin 37311 | start:  | end:  
range d : 10.183.40.0 Tuffin 37311 || 10.183.40.0/24 | start: 0 | end: 255
Tuffin 37310 ||| lhanf0 --- /tim_teste/lists/fping_tim_tuffin37310.txt
Tuffin 37311 ||| lhanf1 --- /tim_teste/lists/fping_tim_tuffin37311.txt
Tuffin 37309 ||| lhanf2 --- /tim_teste/lists/fping_tim_tuffin37309.txt
Tuffin 37307 ||| lhanf3 --- /tim_teste/lists/fping_tim_tuffin37307.txt
Tuffin 37308 ||| lhanf4 --- /tim_teste/lists/fping_tim_tuffin37308.txt
Tuffin 37305 ||| lhanf5 --- /tim_teste/lists/fping_tim_tuffin37305.txt
lhanf1 ||| 10.221.30.170 ||| Tuffin 37311 
lhanf3 ||| 10.221.63.53 ||| Tuffin 37307 
lhanf4 ||| 10.192.92.76 ||| Tuffin 37308 
lhanf3 ||| 172.16.0.241 ||| Tuffin 37307 
lhanf3 ||| 10.216.4.243 ||| Tuffin 37307 
lhanf3 ||| 10.192.40.193 ||| Tuffin 37307 
lhanf3 ||| 10.221.23.225 ||| Tuffin 37307 
lhanf4 ||| 10.221.113.42 ||| Tuffin 37308 
lhanf3 ||| 10.192.26.227 ||| Tuffin 37307 
lhanf4 ||| 10.192.95.227 ||| Tuffin 37308 
lhanf3 ||| 10.192.6.63 ||| Tuffin 37307 
lhanf4 ||| 10.192.72.52 ||| Tuffin 37308 
lhanf3 ||| 10.192.40.228 ||| Tuffin 37307 
lhanf1 ||| 10.183.40.54 ||| Tuffin 37311 
lhanf4 ||| 10.221.121.72 ||| Tuffin 37308 
lhanf3 ||| 172.16.0.38 ||| Tuffin 37307 
lhanf4 ||| 10.192.29.173 ||| Tuffin 37308 
lhanf4 ||| 10.192.92.7 ||| Tuffin 37308 
lhanf3 ||| 10.192.10.231 ||| Tuffin 37307 
lhanf3 ||| 10.9.5.16 ||| Tuffin 37307 
lhanf4 ||| 10.221.113.20 ||| Tuffin 37308 
lhanf3 ||| 10.221.23.119 ||| Tuffin 37307 
lhanf4 ||| 10.192.92.141 ||| Tuffin 37308 
lhanf3 ||| 172.16.0.92 ||| Tuffin 37307 
lhanf4 ||| 10.221.24.44 ||| Tuffin 37308 
lhanf4 ||| 10.192.92.18 ||| Tuffin 37308 
lhanf3 ||| 10.216.4.36 ||| Tuffin 37307 
lhanf4 ||| 10.221.113.83 ||| Tuffin 37308 
lhanf3 ||| 192.168.42.118 ||| Tuffin 37307 
lhanf3 ||| 172.16.0.242 ||| Tuffin 37307 
lhanf3 ||| 10.36.154.111 ||| Tuffin 37307 
lhanf3 ||| 172.16.35.228 ||| Tuffin 37307 
lhanf3 ||| 10.192.26.230 ||| Tuffin 37307 
lhanf3 ||| 192.168.42.135 ||| Tuffin 37307 
lhanf3 ||| 10.36.155.147 ||| Tuffin 37307 
lhanf1 ||| 10.183.40.172 ||| Tuffin 37311 
lhanf3 ||| 10.192.10.204 ||| Tuffin 37307 
lhanf4 ||| 10.192.92.131 ||| Tuffin 37308 
lhanf4 ||| 10.221.21.98 ||| Tuffin 37308 
lhanf3 ||| 10.36.155.173 ||| Tuffin 37307 
lhanf3 ||| 10.221.23.76 ||| Tuffin 37307 
lhanf4 ||| 10.192.29.27 ||| Tuffin 37308 
lhanf4 ||| 10.221.24.11 ||| Tuffin 37308 
lhanf3 ||| 10.216.4.66 ||| Tuffin 37307 
lhanf3 ||| 10.192.26.220 ||| Tuffin 37307 
lhanf0 ||| 10.221.121.194 ||| Tuffin 37310 
lhanf4 ||| 10.192.72.122 ||| Tuffin 37308 
lhanf3 ||| 10.36.155.111 ||| Tuffin 37307 
lhanf4 ||| 10.221.25.85 ||| Tuffin 37308 
lhanf3 ||| 10.36.154.80 ||| Tuffin 37307 
lhanf1 ||| 10.183.40.251 ||| Tuffin 37311 
lhanf4 ||| 10.221.121.139 ||| Tuffin 37308 
lhanf4 ||| 10.192.95.119 ||| Tuffin 37308 
lhanf3 ||| 10.192.2.88 ||| Tuffin 37307 
lhanf3 ||| 10.221.63.135 ||| Tuffin 37307 
